VERB;ENGLISH;IRREGULAR
sein;to be;Y
haben;to have;Y
können;"to can
to be able to";Y
müssen;"to must
to have to";Y
sollen;"to should
to ought";Y
dürfen;to be allowed;Y
mochen;would like;Y
gehen;"to go
to walk";N
machen;to do;N
sehen;to see;Y
heißen;to be called;Y
kommen;to come;N
lernen;to learn;Y
sprechen;to speak;N
wollen;to want;Y
wissen;to know;Y
werden;to become;
lassen;to leave ;Y
geben;to give;
sagen;to say;
stehen;to stand;
finden;to find;
bleiben;to stay;
liegen;to lie;
stellen;to put;
nehmen;to take;
bringen;to bring;
halten;to hold;
spielen;to play;
erklären;to explain;
gehören;to belong;
beginnen;to begin;
tun;to do;
mögen;to like;
gewinnen;to win;
bekommen;to get;
schreiben;to write;
arbeiten;to work;
treffen;to meet;
zahlen;to pay;
leben;to live;
laufen;to walk;
brauchen;to need;
feiern;to celebrate;
fahren;to drive;
suchen;to search;
legen;to put;
glauben;to believe;
scheinen;to seem;
schließen;to close;
fehlen;"to lack
to be missing
to be absent";
kennen;to know;
fragen;to ask;
